x,y,value,group,label,facet,source,target,weight,lower,upper
EGFR,EGFR-VOPP1,326.0,,EGFR,Known fusion,EGFR,EGFR-VOPP1,326.0,296.1798725690181,355.8201274309819
ALK,EML4-ALK,327.0,,ALK,Known fusion,ALK,EML4-ALK,327.0,297.1798725690181,356.8201274309819
TFE3,SFPQ-TFE3,328.0,,TFE3,Known fusion,TFE3,SFPQ-TFE3,328.0,298.1798725690181,357.8201274309819
ALK,EML4-ALK,329.0,,ALK,Known fusion,ALK,EML4-ALK,329.0,299.1798725690181,358.8201274309819
EWSR1,EWSR1-CREM,330.0,,EWSR1,Known fusion,EWSR1,EWSR1-CREM,330.0,300.1798725690181,359.8201274309819
PDGFB,COL1A1-PDGFB,331.0,,PDGFB,Known fusion,PDGFB,COL1A1-PDGFB,331.0,301.1798725690181,360.8201274309819
EWSR1,EWSR1-ATF1,332.0,,EWSR1,Known fusion,EWSR1,EWSR1-ATF1,332.0,302.1798725690181,361.8201274309819
ERBB2,ERBB2-STARD3,333.0,,ERBB2,Rarely reported fusion,ERBB2,ERBB2-STARD3,333.0,303.1798725690181,362.8201274309819
NTRK1,TPR-NTRK1,334.0,,NTRK1,Known fusion,NTRK1,TPR-NTRK1,334.0,304.1798725690181,363.8201274309819
RET,TIMM23B-RET,335.0,,RET,Rarely reported fusion,RET,TIMM23B-RET,335.0,305.1798725690181,364.8201274309819
ROS1,MAP3K9-ROS1,336.0,,ROS1,Rarely reported fusion,ROS1,MAP3K9-ROS1,336.0,306.1798725690181,365.8201274309819
EWSR1,EWSR1-NR4A3,337.0,,EWSR1,Known fusion,EWSR1,EWSR1-NR4A3,337.0,307.1798725690181,366.8201274309819
ROS1,Intergenic-ROS1,338.0,,ROS1,Potential fusion,ROS1,Intergenic-ROS1,338.0,308.1798725690181,367.8201274309819
EWSR1,EWSR1-CREB1,339.0,,EWSR1,Known fusion,EWSR1,EWSR1-CREB1,339.0,309.1798725690181,368.8201274309819
TFE3,KHSRP-TFE3,340.0,,TFE3,Known fusion,TFE3,KHSRP-TFE3,340.0,310.1798725690181,369.8201274309819
FOXO1,PAX3-FOXO1,341.0,,FOXO1,Known fusion,FOXO1,PAX3-FOXO1,341.0,311.1798725690181,370.8201274309819
NTRK1,LMNA-NTRK1,342.0,,NTRK1,Known fusion,NTRK1,LMNA-NTRK1,342.0,312.1798725690181,371.8201274309819
NTRK1,LMNA-NTRK1,343.0,,NTRK1,Known fusion,NTRK1,LMNA-NTRK1,343.0,313.1798725690181,372.8201274309819
ROS1,CD74-ROS1,344.0,,ROS1,Known fusion,ROS1,CD74-ROS1,344.0,314.1798725690181,373.8201274309819
RET,MPRIP-RET,345.0,,RET,Rarely reported fusion,RET,MPRIP-RET,345.0,315.1798725690181,374.8201274309819
FGFR2,FGFR2-BICC1,346.0,,FGFR2,Known fusion,FGFR2,FGFR2-BICC1,346.0,316.1798725690181,375.8201274309819
SS18,SS18-SSX2,347.0,,SS18,Known fusion,SS18,SS18-SSX2,347.0,317.1798725690181,376.8201274309819
MYC,RNF213-MYC,348.0,,MYC,Known fusion,MYC,RNF213-MYC,348.0,318.1798725690181,377.8201274309819
RET,CSGALNACT2-RET,349.0,,RET,Known fusion,RET,CSGALNACT2-RET,349.0,319.1798725690181,378.8201274309819
ALK,KLC1-ALK,350.0,,ALK,Known fusion,ALK,KLC1-ALK,350.0,320.1798725690181,379.8201274309819
FUS,FUS-DDIT3,351.0,,FUS,Known fusion,FUS,FUS-DDIT3,351.0,321.1798725690181,380.8201274309819
FUS,FUS-CREB3L2,352.0,,FUS,Known fusion,FUS,FUS-CREB3L2,352.0,322.1798725690181,381.8201274309819
ALK,EML4-ALK,353.0,,ALK,Known fusion,ALK,EML4-ALK,353.0,323.1798725690181,382.8201274309819
SS18,SS18-SSX2,354.0,,SS18,Known fusion,SS18,SS18-SSX2,354.0,324.1798725690181,383.8201274309819
NTRK1,LMNA-NTRK1,355.0,,NTRK1,Known fusion,NTRK1,LMNA-NTRK1,355.0,325.1798725690181,384.8201274309819
